"","x"
"1","KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM"
"2","KEGG_WNT_SIGNALING_PATHWAY"
"3","KEGG_ACUTE_MYELOID_LEUKEMIA"
"4","KEGG_CHRONIC_MYELOID_LEUKEMIA"
"5","KEGG_COLORECTAL_CANCER"
"6","KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY"
"7","KEGG_HEDGEHOG_SIGNALING_PATHWAY"
"8","KEGG_INOSITOL_PHOSPHATE_METABOLISM"
"9","KEGG_MTOR_SIGNALING_PATHWAY"
"10","KEGG_NON_HOMOLOGOUS_END_JOINING"
"11","KEGG_NON_SMALL_CELL_LUNG_CANCER"
"12","KEGG_PANCREATIC_CANCER"
"13","KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS"
"14","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM"
"15","KEGG_THYROID_CANCER"
"16","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES"
"17","KEGG_ARACHIDONIC_ACID_METABOLISM"
"18","KEGG_ENDOMETRIAL_CANCER"
"19","KEGG_MELANOGENESIS"
"20","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM"
"21","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY"
"22","KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS"
"23","KEGG_GRAFT_VERSUS_HOST_DISEASE"
"24","KEGG_RENAL_CELL_CARCINOMA"
"25","KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY"
