"","x"
"1","PPCS"
"2","ANKRD26"
"3","SEPHS1"
"4","PDPN"
"5","EFEMP2"
"6","THNSL1"
"7","HEMK1"
"8","WAC"
"9","KIAA0913"
"10","LDB1"
"11","TMEM176B"
"12","IQCG"
"13","RANBP17"
"14","ZMYND11"
"15","NSUN5"
"16","KIAA1279"
"17","GLUD2"
"18","ADAM22"
"19","FLJ11286"
"20","NET1"
"21","CBARA1"
"22","SIRT1"
"23","CCL2"
"24","REM1"
"25","TMEM176A"
"26","RNF32"
"27","LARP5"
"28","FKBP6"
"29","MAPK8"
"30","IL8"
"31","PAPD1"
"32","PCBP3"
"33","STAM"
"34","CCDC109B"
"35","DHRS2"
"36","CPEB3"
"37","FGD1"
"38","IRF7"
"39","C13orf18"
"40","CS"
"41","PARD3"
"42","HSPB2"
"43","H2AFY2"
"44","LZTFL1"
"45","UPF2"
"46","GRB14"
"47","PTX3"
"48","NSBP1"
"49","DALRD3"
"50","CBLN1"
