"","x"
"1","C13orf18"
"2","PDPN"
"3","EFEMP2"
"4","FLJ11286"
"5","NET1"
"6","CBR1"
"7","CBLN1"
"8","DHRS2"
"9","PPCS"
"10","LGALS3"
"11","DYNLT3"
"12","LARP5"
"13","ZMYND11"
"14","RBP1"
"15","CBARA1"
"16","SIRT1"
"17","NSUN5"
"18","CCDC109B"
"19","PARD3"
"20","ZNF208"
"21","PHF11"
"22","MAPK8"
"23","UPF2"
"24","PTX3"
"25","WAC"
"26","CLN5"
"27","IQCG"
"28","BDH1"
"29","LZTFL1"
"30","IL8"
"31","ADAM22"
"32","CCL2"
"33","REM1"
"34","TCTN1"
"35","ZNF257"
"36","TIMP1"
"37","ZNF768"
"38","YIPF1"
"39","EIF4EBP2"
"40","ECHDC2"
"41","SLC2A3"
"42","FBXO17"
"43","HEMK1"
"44","KIAA0495"
"45","RANBP17"
"46","GLT8D1"
"47","BCR"
"48","tcag7.1314"
"49","VAMP5"
"50","FRAT2"
