"","x"
"1","RPS6KA5"
"2","C13orf18"
"3","EIF3EIP"
"4","KIN"
"5","HBQ1"
"6","PSMB8"
"7","NR4A3"
"8","UPF2"
"9","SEC61A2"
"10","DYNLT3"
"11","FKBP11"
"12","EIF4EBP2"
"13","HLA-A"
"14","SIPA1L1"
"15","NMT2"
"16","EFEMP2"
"17","MYO7A"
"18","WAC"
"19","CBR1"
"20","IL5"
"21","CLSTN2"
"22","TRIM14"
"23","DCUN1D2"
"24","C1S"
"25","DYRK3"
"26","MAPK8"
"27","VAMP5"
"28","RAC3"
"29","CYB5R2"
"30","ADM"
"31","LARP5"
"32","GPR3"
"33","SLC2A3"
"34","KIF5B"
"35","C11orf30"
"36","TRIP4"
"37","ZMYND11"
"38","MICALL2"
"39","TNFAIP6"
"40","FLJ33790"
"41","TNFRSF1A"
"42","TAP1"
"43","CHL1"
"44","GK3P"
"45","HNRPH3"
"46","RTP4"
"47","GDI2"
"48","MLLT10"
"49","IFI35"
"50","SLC25A38"
